# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:34:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/x9k19esu.json
# init = 2 (Default)
# random
#   seed = 68384
# output
#   file = /home/lab5/output/code4-20230416113455_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.0031983
# Diagonal elements of inverse mass matrix:
# 1.08518e-05, 1.09967e-05, 1.09065e-05, 1.08914e-05, 1.08793e-05, 1.08545e-05, 1.08562e-05, 1.071e-05, 1.07518e-05, 1.09509e-05, 9.90113e-06
505.542,0.975597,0.0031983,9,511,0,-498.545,2.50174,2.49757,2.49932,2.50019,2.5005,2.49898,2.49908,2.49945,2.49966,2.49983,0.000112265,18.8295,19.6939,21.4062,22.5451,23.411,23.9573,23.5438,24.4853,28.054,27.0504,23,15,26,20,23,14,23,20,23,25
504.36,0.955499,0.0031983,9,511,0,-497.496,2.49821,2.50254,2.50049,2.49938,2.4995,2.50123,2.50096,2.50034,2.50069,2.5002,0.000118798,19.2426,20.3558,22.1467,23.348,24.2931,24.9767,24.5114,25.5242,29.4802,28.3463,14,20,11,20,25,25,29,31,28,36
507.59,0.999892,0.0031983,8,511,0,-499.713,2.50034,2.50017,2.49949,2.50039,2.50139,2.50031,2.50101,2.50104,2.49827,2.49938,0.000106173,18.3656,19.2346,20.7639,21.809,22.6166,23.1236,22.7596,23.6119,26.7745,25.8924,18,12,19,21,28,19,19,32,21,25
507.81,0.920685,0.0031983,9,511,0,-500.497,2.49973,2.49954,2.50064,2.49972,2.49881,2.49951,2.49882,2.4991,2.50163,2.50048,0.000111666,18.7482,19.6821,21.37,22.4606,23.2904,23.8835,23.455,24.3858,27.9844,26.9529,12,21,21,15,18,28,32,24,26,30
507.14,0.996308,0.0031983,9,511,0,-503.153,2.50014,2.49983,2.5011,2.49939,2.50196,2.49971,2.50174,2.50044,2.49957,2.49985,0.000106082,18.3555,19.2205,20.7878,21.7764,22.6173,23.0969,22.764,23.5844,26.7913,25.8877,16,20,22,24,27,28,21,31,18,24
507.487,0.994077,0.0031983,9,511,0,-503.206,2.49979,2.50142,2.49979,2.49886,2.49873,2.50004,2.49949,2.49938,2.50154,2.49986,0.000112986,18.8451,19.8312,21.4939,22.6041,23.4678,24.0873,23.6535,24.5937,28.2578,27.19,17,23,26,14,33,28,29,30,24,25
503.124,0.896257,0.0031983,8,511,0,-499.17,2.50102,2.50158,2.49998,2.50106,2.49994,2.50114,2.49727,2.50003,2.50109,2.50068,9.29041e-05,17.46,18.1936,19.4338,20.2928,20.9069,21.3623,20.9736,21.7186,24.3283,23.5931,14,15,17,27,27,17,22,20,29,19
506.79,0.942963,0.0031983,9,511,0,-497.835,2.49965,2.50055,2.50124,2.49874,2.49898,2.49848,2.5007,2.49909,2.49939,2.5009,0.000102293,18.0801,18.9236,20.3986,21.315,22.0588,22.5473,22.2396,23.0037,26.0426,25.2267,19,25,21,23,23,29,18,22,22,24
508.407,0.993453,0.0031983,8,255,0,-500.951,2.49913,2.50042,2.50133,2.49942,2.4992,2.49897,2.50032,2.49933,2.49952,2.50067,0.000116145,19.0639,20.0825,21.8716,23.0119,23.914,24.5246,24.1168,25.0807,28.8708,27.8299,18,20,23,21,26,15,30,25,24,26
506.815,0.999787,0.0031983,8,255,0,-503.748,2.49812,2.50044,2.50152,2.50101,2.49955,2.49906,2.49895,2.49956,2.49973,2.5002,0.000104877,18.2334,19.1329,20.671,21.6681,22.4055,22.9147,22.5405,23.3876,26.5567,25.676,28,17,18,25,29,19,15,20,20,30
