# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:31:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/9615jsf2.json
# init = 2 (Default)
# random
#   seed = 85257
# output
#   file = /home/lab5/output/code4-20230416113142_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00299996
# Diagonal elements of inverse mass matrix:
# 1.10486e-05, 1.08573e-05, 1.09601e-05, 1.09035e-05, 1.07803e-05, 1.08182e-05, 1.11398e-05, 1.08495e-05, 1.09126e-05, 1.10042e-05, 9.90112e-06
496.736,0.992816,0.00299996,8,511,0,-489.893,2.50128,2.49854,2.49916,2.49985,2.49982,2.49748,2.50287,2.50261,2.49959,2.50192,0.000107125,18.4508,19.2821,20.8569,21.9114,22.7063,23.1911,22.93,23.7897,27.0003,26.1345,17,15,24,20,24,17,31,26,28,34
503.87,0.967433,0.00299996,8,511,0,-487.127,2.49981,2.49826,2.49914,2.49895,2.50147,2.49916,2.50194,2.50149,2.49909,2.50068,0.000101223,18.0083,18.7937,20.2467,21.1947,21.9767,22.4175,22.1277,22.9059,25.8285,25.03,21,23,21,25,18,17,20,22,32,32
505.93,0.997376,0.00299996,8,511,0,-500.294,2.50076,2.50154,2.50036,2.50005,2.49943,2.50159,2.4987,2.49851,2.49899,2.49999,0.000100237,17.9569,18.7757,20.1711,21.1038,21.8065,22.3389,21.9287,22.6981,25.6374,24.838,20,20,15,17,17,25,26,26,18,25
504.212,0.980714,0.00299996,9,511,0,-499.144,2.49957,2.49818,2.49994,2.4991,2.50051,2.49802,2.50197,2.50098,2.50041,2.50031,0.00012011,19.3668,20.382,22.281,23.5099,24.5038,25.0944,24.726,25.7498,29.7608,28.6152,30,19,24,28,31,27,19,26,24,36
505.095,0.887582,0.00299996,9,511,0,-498.395,2.49998,2.50164,2.50043,2.50057,2.49844,2.50166,2.49799,2.4999,2.49975,2.50012,0.000100005,17.9268,18.7587,20.1491,21.0879,21.7556,22.309,21.8831,22.6969,25.6125,24.8002,20,17,22,23,25,23,19,24,19,36
509.126,0.999955,0.00299996,8,511,0,-502.738,2.49975,2.50033,2.5002,2.49936,2.50117,2.49985,2.49999,2.50037,2.50125,2.50112,0.00010718,18.4264,19.3212,20.8841,21.9071,22.7443,23.2538,22.8713,23.7445,27.0561,26.1237,20,14,16,19,21,29,31,25,34,30
505.148,0.939444,0.00299996,8,255,0,-503.18,2.49975,2.50095,2.50138,2.49999,2.50194,2.49988,2.50066,2.50024,2.50146,2.50151,0.000120927,19.4314,20.5106,22.4051,23.6364,24.6558,25.2654,24.8125,25.8618,29.9736,28.8162,18,20,31,22,17,31,27,24,28,30
508.076,0.913637,0.00299996,8,255,0,-501.457,2.49982,2.50046,2.49929,2.50032,2.50009,2.50028,2.50107,2.49892,2.49923,2.49935,0.000126564,19.8606,21.0034,23.0006,24.3861,25.4302,26.1497,25.6588,26.7497,31.1863,29.9294,20,10,23,25,23,38,24,28,24,26
509.757,0.966373,0.00299996,9,511,0,-505.3,2.49959,2.50002,2.50058,2.49994,2.49959,2.49908,2.49994,2.49942,2.49966,2.49953,0.00012195,19.5052,20.5817,22.5023,23.7682,24.7446,25.4014,24.9441,26.0058,30.1477,28.9691,24,19,21,24,30,28,22,31,24,25
507.22,0.915498,0.00299996,8,255,0,-503.911,2.49958,2.49939,2.50053,2.49895,2.50141,2.50016,2.50088,2.50114,2.50159,2.49962,0.000110793,18.6822,19.6053,21.274,22.3361,23.2327,23.7736,23.383,24.3032,27.8022,26.763,19,11,13,22,19,26,24,28,27,22
