# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:04:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/17toygqy.json
# init = 2 (Default)
# random
#   seed = 78303
# output
#   file = /home/lab5/output/code2-20230416100439_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 5.53709e-06
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 5.08369e-05
-96682.5,0.999999,5.53709e-06,10,1023,0,96697.8,1.45914,0.000292594,13.3223,15.1394,18.7279,21.3885,23.5774,25.1376,24.016,26.5747,37.8639,34.4191,17,12,18,27,31,26,22,24,37,31
-96682.7,0.999999,5.53709e-06,9,511,0,96682.9,1.45915,0.000295089,13.4513,15.3027,18.9643,21.683,23.9218,25.5188,24.3707,26.9905,38.5726,35.0348,15,15,19,23,29,15,29,27,39,35
-96681.9,1,5.53709e-06,7,191,0,96682.7,1.45915,0.000292932,13.3397,15.1614,18.7598,21.4282,23.6238,25.189,24.0638,26.6307,37.9592,34.502,6,17,18,19,28,26,24,37,42,43
-96657,1,5.53709e-06,10,1023,0,96683.8,1.4592,0.000264137,11.9361,13.3965,16.2326,18.3007,19.9833,21.1733,20.3186,22.263,30.647,28.1184,9,13,15,12,18,28,24,15,37,29
-96659,1,5.53709e-06,9,511,0,96659.3,1.4592,0.000266447,12.043,13.5301,16.422,18.5337,20.2533,21.4703,20.5961,22.5852,31.1774,28.5836,14,12,11,18,23,26,20,30,23,39
-96657.5,0.999999,5.53709e-06,10,1023,0,96660.2,1.4592,0.00025866,11.6862,13.0847,15.7917,17.7595,19.357,20.4851,19.675,21.517,29.4244,27.045,15,12,15,18,11,19,28,28,32,21
-96654,1,5.53709e-06,8,383,0,96658,1.45921,0.000267049,12.0711,13.5653,16.472,18.5952,20.3246,21.5487,20.6694,22.6703,31.3177,28.7066,13,12,18,22,26,21,13,16,37,35
-96654.4,1,5.53709e-06,7,143,0,96654.5,1.45921,0.000266317,12.037,13.5227,16.4115,18.5207,20.2382,21.4536,20.5806,22.5671,31.1476,28.5574,9,13,16,13,27,22,20,29,32,29
-96654.6,1,5.53709e-06,8,255,0,96654.7,1.45921,0.000264798,11.9666,13.4347,16.2867,18.3672,20.0603,21.258,20.3978,22.3549,30.7981,28.251,12,15,12,15,25,19,19,26,26,34
-96653.1,1,5.53709e-06,9,511,0,96654.7,1.45921,0.000271662,12.2882,13.8371,16.8585,19.0714,20.8771,22.1568,21.2375,23.3305,32.4102,29.6633,11,13,21,20,16,23,16,24,33,32
-96649.4,0.999997,5.53709e-06,10,1023,0,96655,1.45922,0.000292491,13.3179,15.1338,18.7196,21.378,23.565,25.1238,24.0032,26.5595,37.8376,34.3964,17,19,21,22,18,24,28,28,37,42
-96647.3,0.999995,5.53709e-06,10,1023,0,96653.1,1.45923,0.000242055,10.9604,12.1833,14.5274,16.2149,17.576,18.5329,17.8461,19.4051,26.0085,24.0351,13,9,19,12,16,19,15,19,24,28
-96647.2,1,5.53709e-06,6,63,0,96647.3,1.45923,0.000242349,10.9729,12.1987,14.549,16.2411,17.6062,18.5658,17.877,19.4407,26.0655,24.0854,11,12,14,21,18,24,13,19,29,25
