# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:25:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/u63o5wh6.json
# init = 2 (Default)
# random
#   seed = 24928
# output
#   file = /home/lab5/output/code2-20230416112538_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.000724231
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 5.07533e-05
-6.95117e+06,1,0.000724231,1,1,0,6.9512e+06,-1.82868,0.000763371,3.06552,4.27939,7.45423,10.5418,13.593,16.0664,14.2627,18.5742,46.7798,36.4738,3,4,11,12,14,16,12,12,45,41
-6.95115e+06,1,0.000724231,1,1,0,6.95117e+06,-1.82868,0.000766036,3.09726,4.32874,7.55482,10.697,13.8053,16.327,14.4879,18.8849,47.7161,37.1714,2,3,7,10,16,20,14,24,47,39
-6.95113e+06,1,0.000724231,1,1,0,6.95115e+06,-1.82867,0.000766382,3.10142,4.33521,7.56801,10.7174,13.8332,16.3612,14.5175,18.9258,47.8392,37.2632,7,4,6,8,10,14,14,17,40,42
-6.95111e+06,0.996923,0.000724231,1,1,0,6.95113e+06,-1.82867,0.000765776,3.09418,4.32394,7.54501,10.6819,13.7846,16.3015,14.4659,18.8546,47.6243,37.1031,3,5,9,10,12,14,16,14,55,45
-6.95099e+06,1,0.000724231,2,3,0,6.95111e+06,-1.82864,0.000768607,3.12832,4.37705,7.65343,10.8493,14.0139,16.5829,14.7092,19.1904,48.6389,37.8586,5,3,8,12,13,11,18,20,57,27
-6.95084e+06,0.999619,0.000724231,2,3,0,6.95099e+06,-1.8286,0.000770282,3.14873,4.40885,7.71841,10.9497,14.1515,16.7519,14.8552,19.3921,49.2498,38.3132,8,6,8,7,15,13,10,15,56,36
-6.9507e+06,0.976046,0.000724231,3,7,0,6.95084e+06,-1.82856,0.00076102,3.03819,4.23689,7.36759,10.4082,13.4102,15.8422,14.0688,18.3068,45.9754,35.874,3,7,10,12,15,12,18,19,46,35
-6.95066e+06,1,0.000724231,1,1,0,6.9507e+06,-1.82855,0.000764918,3.08431,4.30854,7.51344,10.633,13.7177,16.2193,14.3949,18.7564,47.3273,36.882,4,3,11,16,11,15,14,17,47,34
-6.94981e+06,0.972345,0.000724231,5,31,0,6.95067e+06,-1.82832,0.000772819,3.18063,4.45845,7.81966,11.1062,14.3658,17.015,15.0825,19.7062,50.2014,39.0212,1,6,12,11,15,15,21,19,42,42
-6.94969e+06,0.991376,0.000724231,2,3,0,6.94981e+06,-1.82829,0.000786726,3.35629,4.73336,8.38619,11.9862,15.5761,18.5048,16.3676,21.4883,55.6705,43.0765,3,2,10,7,14,16,14,26,65,47
-6.94966e+06,0.999748,0.000724231,1,1,0,6.94969e+06,-1.82828,0.000786799,3.35726,4.73488,8.38932,11.9911,15.5828,18.5131,16.3747,21.4982,55.701,43.0991,4,2,7,10,15,21,16,18,51,46
-6.94963e+06,0.981087,0.000724231,1,1,0,6.94966e+06,-1.82827,0.000790679,3.40798,4.81458,8.55462,12.2489,15.9385,18.9517,16.7525,22.0238,57.3312,44.3044,4,2,7,15,18,17,16,25,59,44
-6.9495e+06,0.999944,0.000724231,5,31,0,6.94963e+06,-1.82824,0.000788447,3.37884,4.76875,8.45945,12.1004,15.7335,18.6988,16.5348,21.7207,56.3897,43.6086,2,9,11,10,13,20,17,15,54,46
-6.94947e+06,1,0.000724231,1,1,0,6.9495e+06,-1.82823,0.000786433,3.35268,4.72766,8.37431,11.9677,15.5505,18.4732,16.3403,21.4504,55.5523,42.9892,1,4,7,15,23,15,18,18,46,43
-6.94891e+06,0.990133,0.000724231,3,7,0,6.94947e+06,-1.82808,0.000785828,3.34535,4.71608,8.35012,11.9298,15.4982,18.4086,16.2847,21.3729,55.3113,42.8111,4,4,8,17,13,21,12,22,59,39
-6.94888e+06,0.996711,0.000724231,1,1,0,6.94891e+06,-1.82807,0.000786732,3.35708,4.73449,8.38822,11.9892,15.58,18.5094,16.3716,21.4937,55.6847,43.0874,3,5,13,8,23,23,18,24,60,39
-6.94887e+06,0.996508,0.000724231,2,3,0,6.94889e+06,-1.82807,0.000782588,3.30379,4.6509,8.21534,11.72,15.2092,18.0526,15.9778,20.9467,53.996,41.8372,4,2,9,6,11,18,17,21,60,39
-6.9483e+06,0.999774,0.000724231,3,7,0,6.94887e+06,-1.82792,0.000775274,3.21224,4.5076,7.91998,11.2612,14.5782,17.2759,15.3079,20.0177,51.1468,39.7242,1,9,6,12,17,25,10,13,53,43
-6.94827e+06,0.970763,0.000724231,1,1,0,6.9483e+06,-1.82791,0.000766845,3.10935,4.34717,7.59143,10.7528,13.8811,16.4194,14.5682,18.9948,48.0407,37.4145,3,0,14,13,15,13,19,21,37,39
-6.94824e+06,0.998633,0.000724231,2,3,0,6.94827e+06,-1.8279,0.0007702,3.14994,4.41038,7.72064,10.9525,14.1547,16.7554,14.8584,19.3958,49.2544,38.3178,9,5,10,12,22,18,19,26,44,33
-6.94821e+06,0.99463,0.000724231,1,1,0,6.94824e+06,-1.82789,0.000768789,3.13285,4.38374,7.66614,10.8682,14.0392,16.6135,14.7359,19.2264,48.741,37.9358,4,4,7,20,7,14,16,14,40,45
-6.94817e+06,0.981025,0.000724231,2,3,0,6.94821e+06,-1.82788,0.000780038,3.27201,4.60103,8.11218,11.5595,14.9881,17.7802,15.743,20.6206,52.9918,41.0933,9,9,9,11,13,18,15,15,51,39
-6.94804e+06,0.952755,0.000724231,2,3,0,6.94818e+06,-1.82784,0.00079388,3.45187,4.88339,8.69712,12.4711,16.2448,19.3296,17.078,22.4765,58.7369,45.3433,2,3,9,10,21,16,17,19,55,52
-6.948e+06,0.94958,0.000724231,2,3,0,6.94804e+06,-1.82783,0.000800728,3.54444,5.02938,9.00182,12.9482,16.9048,20.1451,17.7795,23.4553,61.8047,47.6052,4,6,12,10,24,17,17,30,64,40
-5.05544e+06,1,0.000724231,9,511,0,6.948e+06,-1.27989,0.000712791,4.36502,5.96025,10.0073,13.8311,17.5364,20.4991,18.3418,23.472,55.6057,44.076,4,6,11,20,18,24,25,25,52,55
-5.05542e+06,1,0.000724231,2,3,0,5.05544e+06,-1.27988,0.000709834,4.31547,5.88498,9.85967,13.6088,17.2376,20.1367,18.0259,23.0442,54.3972,43.1597,5,4,6,12,26,32,18,18,52,41
-5.05502e+06,1,0.000724231,3,7,0,5.05542e+06,-1.27976,0.000691228,4.01669,5.43318,8.98043,12.291,15.4722,18.0009,16.1608,20.5273,47.3772,37.8186,5,8,7,15,11,14,19,20,47,32
-5.05492e+06,1,0.000724231,2,3,0,5.05502e+06,-1.27972,0.000694195,4.06312,5.50312,9.11567,12.4929,15.7419,18.3266,16.4457,20.9105,48.4353,38.6258,8,5,11,10,8,15,10,26,46,30
-5.05491e+06,0.995632,0.000724231,1,1,0,5.05492e+06,-1.27972,0.00069176,4.02509,5.44581,9.00479,12.3273,15.5207,18.0594,16.212,20.5961,47.5666,37.9632,4,7,3,14,17,18,14,25,45,37
