# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:31:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/9615jsf2.json
# init = 2 (Default)
# random
#   seed = 85257
# output
#   file = /home/lab5/output/code4-20230416113142_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.000690729
# Diagonal elements of inverse mass matrix:
# 0.121631, 1.52322, 0.0687716, 0.984585, 0.539419, 0.15416, 1.74767, 1.36247, 0.437356, 1.42726, 4.26534e-05
504.5,0.833767,0.000690729,3,7,0,-494.482,2.50063,2.49919,2.49946,2.50027,2.50019,2.49986,2.49998,2.49987,2.50249,2.50118,8.30729e-05,16.8028,17.3989,18.4871,19.2131,19.7504,20.1063,19.85,20.4265,22.6458,22.0118,22,14,19,16,21,21,20,20,23,19
508.148,0.717849,0.000690729,3,15,0,-495.676,2.49866,2.50027,2.50064,2.49957,2.50064,2.49969,2.49915,2.5004,2.49987,2.49825,0.000106119,18.3311,19.2321,20.7822,21.7847,22.5926,23.1018,22.7101,23.589,26.8067,25.8534,20,15,27,23,20,25,23,24,31,20
508.366,0.987943,0.000690729,4,31,0,-505.189,2.49913,2.50007,2.49943,2.50043,2.49928,2.49924,2.49923,2.50022,2.50009,2.49815,0.00011191,18.7547,19.713,21.3702,22.5065,23.3343,23.9122,23.4982,24.4502,27.9919,26.9369,18,19,25,25,24,8,26,19,26,22
505.555,0.398883,0.000690729,3,7,0,-497.091,2.49856,2.4995,2.49936,2.50038,2.50078,2.49897,2.49833,2.4996,2.5004,2.50164,9.37489e-05,17.4739,18.2218,19.5043,20.3731,21.0276,21.425,21.1005,21.8239,24.4649,23.7579,21,15,20,19,20,23,15,23,23,23
505.546,0.980764,0.000690729,4,15,0,-500.226,2.50112,2.50083,2.50087,2.50056,2.50074,2.50121,2.49917,2.50097,2.50031,2.49951,8.28629e-05,16.7974,17.4117,18.4936,19.1966,19.7373,20.1081,19.8094,20.4223,22.5612,21.9424,13,20,13,23,18,16,20,13,19,22
505.303,0.830699,0.000690729,3,7,0,-501.068,2.50101,2.50176,2.50088,2.50142,2.50067,2.50105,2.50003,2.49971,2.50061,2.50067,8.79987e-05,17.132,17.8171,18.9775,19.7617,20.334,20.7375,20.434,21.0589,23.4461,22.7844,13,21,21,17,25,23,13,23,19,30
505.182,0.780032,0.000690729,3,7,0,-498.401,2.50018,2.50077,2.50081,2.49856,2.4994,2.50135,2.49879,2.49844,2.49895,2.50138,0.000115866,19.0634,20.0653,21.8297,22.9571,23.88,24.5417,24.0404,25.0149,28.7945,27.7945,19,23,24,20,32,28,18,21,30,34
504.05,0.876056,0.000690729,3,15,0,-493.907,2.49851,2.49982,2.49949,2.50071,2.49807,2.50088,2.50099,2.50181,2.50029,2.4989,0.000123821,19.6255,20.7439,22.6904,24.0316,24.9772,25.7359,25.2465,26.3732,30.5893,29.3383,23,19,25,28,28,19,32,33,22,26
503.348,0.996618,0.000690729,5,63,0,-500.54,2.49893,2.4991,2.50131,2.49862,2.49789,2.50086,2.49923,2.50112,2.50048,2.50098,9.01554e-05,17.2394,17.9353,19.1925,19.9406,20.5335,21.0051,20.678,21.3737,23.8219,23.1434,23,19,21,26,16,14,18,20,23,23
504.921,0.942577,0.000690729,3,7,0,-498.738,2.49868,2.49982,2.50128,2.50188,2.50158,2.49958,2.50072,2.49989,2.49938,2.50158,0.000115853,19.0339,20.045,21.8384,23.0316,23.9302,24.4963,24.0849,25.0491,28.804,27.7974,25,19,23,30,30,21,23,31,26,24
504.721,0.818433,0.000690729,4,15,0,-497.6,2.50242,2.50124,2.50046,2.50107,2.50013,2.50063,2.50161,2.49929,2.50043,2.50096,0.000100224,17.9859,18.769,20.1718,21.1237,21.8201,22.3155,21.9909,22.7142,25.672,24.8599,17,15,22,21,17,21,14,20,24,25
506.319,0.960597,0.000690729,3,15,0,-500.62,2.50112,2.49825,2.50032,2.49892,2.5001,2.50104,2.49925,2.50037,2.49976,2.49903,0.000124548,19.7321,20.7762,22.7924,24.0846,25.134,25.8533,25.3104,26.4546,30.7389,29.4943,19,20,24,19,31,27,25,22,32,36
