lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00326443
# Diagonal elements of inverse mass matrix:
# 1.09543e-05, 1.08571e-05, 1.08561e-05, 1.09617e-05, 1.09387e-05, 1.08919e-05, 1.07597e-05, 1.09618e-05, 1.1088e-05, 1.09197e-05, 9.90113e-06
505.636,0.880195,0.00326443,8,255,0,-500.635,2.49837,2.49904,2.49883,2.49881,2.50067,2.50104,2.50096,2.50161,2.50058,2.50021,0.000111624,18.7196,19.6686,21.3267,22.435,23.328,23.9141,23.4993,24.4406,27.9463,26.9376,19,23,19,26,31,24,28,26,35,27
498.424,0.989689,0.00326443,8,255,0,-492.46,2.50235,2.4988,2.50243,2.49794,2.50064,2.49943,2.49943,2.50001,2.50094,2.50264,0.000102091,18.1148,18.8741,20.4022,21.2743,22.0695,22.5413,22.185,22.996,26.0439,25.2344,14,18,21,25,35,19,18,17,22,21
499.648,0.989302,0.00326443,8,255,0,-488.582,2.50067,2.50036,2.49738,2.50322,2.49875,2.50118,2.50019,2.50142,2.50072,2.49957,0.000115139,19.0192,19.9944,21.6755,22.9725,23.7638,24.43,23.9714,24.9763,28.69,27.6012,18,17,26,17,19,25,27,31,40,26
507.099,0.747969,0.00326443,8,255,0,-492.879,2.50015,2.49951,2.49934,2.50109,2.50207,2.49953,2.50049,2.49963,2.49998,2.49908,9.49679e-05,17.5844,18.3178,19.6237,20.5242,21.2045,21.5952,21.298,21.9906,24.6771,23.9032,17,8,27,24,18,27,17,25,25,27
505.948,0.997744,0.00326443,8,255,0,-498.996,2.50009,2.49891,2.49785,2.50223,2.49973,2.49983,2.49986,2.50028,2.49972,2.49954,0.000105544,18.3165,19.1586,20.6645,21.774,22.4965,23.025,22.6497,23.5019,26.6884,25.7812,23,18,28,23,21,24,26,22,36,28
506.194,0.986816,0.00326443,9,511,0,-501.799,2.49896,2.5008,2.50113,2.49743,2.49969,2.5,2.50052,2.49931,2.50031,2.50043,0.000104471,18.2202,19.1064,20.6209,21.5426,22.3557,22.8803,22.5221,23.3229,26.4919,25.6079,18,21,19,31,30,21,16,15,34,32
509.281,0.999984,0.00326443,9,511,0,-503.466,2.50001,2.50094,2.49974,2.50008,2.49947,2.50049,2.50104,2.50133,2.49966,2.50039,0.000104916,18.2707,19.1458,20.6384,21.6526,22.4087,22.9531,22.5929,23.4347,26.5625,25.6882,19,22,22,24,23,31,24,21,28,31
504.797,0.850408,0.00326443,8,255,0,-495.109,2.49806,2.50154,2.49962,2.50022,2.49931,2.49841,2.50164,2.50095,2.50055,2.4995,0.000103495,18.1352,19.0404,20.4889,21.4876,22.2208,22.7098,22.4182,23.2196,26.3067,25.4072,20,14,19,24,20,15,29,24,29,29
506.703,0.755464,0.00326443,8,255,0,-498.342,2.49983,2.49979,2.50054,2.49894,2.50083,2.50001,2.49879,2.49981,2.49929,2.49997,8.1757e-05,16.7042,17.3111,18.385,19.0497,19.6124,19.9503,19.6736,20.2587,22.3536,21.7804,13,23,19,18,21,21,24,21,19,17
504.053,0.992081,0.00326443,8,255,0,-501.619,2.50024,2.50004,2.50116,2.49847,2.49994,2.50088,2.50015,2.50108,2.50182,2.49942,0.000133794,20.4317,21.6576,23.8966,25.325,26.518,27.332,26.7479,28.0414,32.9935,31.5096,19,24,15,22,25,29,29,21,44,34
