lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 1.55182e-50
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 5.04775e-05
-3.12186e+91,1,1.55182e-50,1,1,0,3.1219e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282309,7.43717e+46,3.39363e+53,2.76839e+61,2.3818e+66,1.59828e+71,2.4332e+74,2.66517e+72,1.93833e+76,3.12139e+91,4.69956e+87,0,0,0,0,0,0,0,0,0,0
-3.12173e+91,1,1.55182e-50,2,3,0,3.12186e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282309,7.43701e+46,3.39355e+53,2.76831e+61,2.38173e+66,1.59823e+71,2.43311e+74,2.66508e+72,1.93827e+76,3.12126e+91,4.69937e+87,0,0,0,0,0,0,0,0,0,0
-3.1217e+91,1,1.55182e-50,1,1,0,3.12173e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282309,7.43697e+46,3.39353e+53,2.76829e+61,2.38171e+66,1.59822e+71,2.43309e+74,2.66506e+72,1.93825e+76,3.12123e+91,4.69933e+87,0,0,0,0,0,0,0,0,0,0
-3.12118e+91,1,1.55182e-50,3,7,0,3.1217e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282309,7.43632e+46,3.3932e+53,2.76797e+61,2.38142e+66,1.59801e+71,2.43276e+74,2.6647e+72,1.93798e+76,3.12071e+91,4.69857e+87,0,0,0,0,0,0,0,0,0,0
-3.12114e+91,1,1.55182e-50,1,1,0,3.12118e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282309,7.43628e+46,3.39318e+53,2.76795e+61,2.3814e+66,1.598e+71,2.43274e+74,2.66468e+72,1.93796e+76,3.12067e+91,4.69853e+87,0,0,0,0,0,0,0,0,0,0
-3.12101e+91,1,1.55182e-50,2,3,0,3.12114e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282309,7.43612e+46,3.39309e+53,2.76788e+61,2.38132e+66,1.59794e+71,2.43266e+74,2.66459e+72,1.93789e+76,3.12054e+91,4.69834e+87,0,0,0,0,0,0,0,0,0,0
-3.12098e+91,1,1.55182e-50,1,1,0,3.12101e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282309,7.43608e+46,3.39307e+53,2.76786e+61,2.3813e+66,1.59793e+71,2.43264e+74,2.66457e+72,1.93788e+76,3.12051e+91,4.69829e+87,0,0,0,0,0,0,0,0,0,0
-3.12085e+91,1,1.55182e-50,2,3,0,3.12098e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282309,7.43591e+46,3.39299e+53,2.76778e+61,2.38123e+66,1.59788e+71,2.43255e+74,2.66448e+72,1.93781e+76,3.12038e+91,4.6981e+87,0,0,0,0,0,0,0,0,0,0
-3.12082e+91,1,1.55182e-50,1,1,0,3.12085e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282309,7.43587e+46,3.39297e+53,2.76776e+61,2.38121e+66,1.59787e+71,2.43253e+74,2.66446e+72,1.93779e+76,3.12035e+91,4.69806e+87,0,0,0,0,0,0,0,0,0,0
-3.12069e+91,1,1.55182e-50,2,3,0,3.12082e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282309,7.43571e+46,3.39289e+53,2.76768e+61,2.38114e+66,1.59781e+71,2.43245e+74,2.66437e+72,1.93772e+76,3.12022e+91,4.69787e+87,0,0,0,0,0,0,0,0,0,0
-3.12065e+91,1,1.55182e-50,1,1,0,3.12069e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282308,7.43567e+46,3.39287e+53,2.76766e+61,2.38112e+66,1.5978e+71,2.43243e+74,2.66435e+72,1.93771e+76,3.12018e+91,4.69782e+87,0,0,0,0,0,0,0,0,0,0
-3.12062e+91,1,1.55182e-50,1,1,0,3.12065e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282308,7.43563e+46,3.39285e+53,2.76764e+61,2.3811e+66,1.59779e+71,2.43241e+74,2.66433e+72,1.93769e+76,3.12015e+91,4.69777e+87,0,0,0,0,0,0,0,0,0,0
-3.12049e+91,1,1.55182e-50,2,3,0,3.12062e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282308,7.43547e+46,3.39277e+53,2.76756e+61,2.38103e+66,1.59773e+71,2.43233e+74,2.66424e+72,1.93762e+76,3.12002e+91,4.69758e+87,0,0,0,0,0,0,0,0,0,0
-3.12046e+91,1,1.55182e-50,1,1,0,3.12049e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282308,7.43543e+46,3.39275e+53,2.76754e+61,2.38101e+66,1.59772e+71,2.43231e+74,2.66422e+72,1.9376e+76,3.11999e+91,4.69754e+87,0,0,0,0,0,0,0,0,0,0
-3.11993e+91,1,1.55182e-50,3,7,0,3.12046e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282308,7.43478e+46,3.39242e+53,2.76723e+61,2.38072e+66,1.59751e+71,2.43197e+74,2.66386e+72,1.93733e+76,3.11946e+91,4.69678e+87,0,0,0,0,0,0,0,0,0,0
-3.1199e+91,1,1.55182e-50,1,1,0,3.11993e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282308,7.43474e+46,3.3924e+53,2.76721e+61,2.3807e+66,1.5975e+71,2.43195e+74,2.66384e+72,1.93731e+76,3.11943e+91,4.69674e+87,0,0,0,0,0,0,0,0,0,0
-3.11977e+91,1,1.55182e-50,2,3,0,3.1199e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282308,7.43458e+46,3.39231e+53,2.76713e+61,2.38062e+66,1.59745e+71,2.43187e+74,2.66375e+72,1.93725e+76,3.1193e+91,4.69655e+87,0,0,0,0,0,0,0,0,0,0
-3.11964e+91,1,1.55182e-50,2,3,0,3.11977e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282308,7.43442e+46,3.39223e+53,2.76705e+61,2.38055e+66,1.59739e+71,2.43179e+74,2.66367e+72,1.93718e+76,3.11917e+91,4.69636e+87,0,0,0,0,0,0,0,0,0,0
-3.11912e+91,1,1.55182e-50,3,7,0,3.11964e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282308,7.43377e+46,3.3919e+53,2.76674e+61,2.38026e+66,1.59718e+71,2.43146e+74,2.66331e+72,1.93691e+76,3.11865e+91,4.69561e+87,0,0,0,0,0,0,0,0,0,0
-3.11908e+91,1,1.55182e-50,1,1,0,3.11912e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282308,7.43373e+46,3.39188e+53,2.76672e+61,2.38024e+66,1.59717e+71,2.43144e+74,2.66329e+72,1.93689e+76,3.11861e+91,4.69556e+87,0,0,0,0,0,0,0,0,0,0
-3.11895e+91,1,1.55182e-50,2,3,0,3.11908e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282308,7.43357e+46,3.3918e+53,2.76664e+61,2.38016e+66,1.59712e+71,2.43135e+74,2.6632e+72,1.93682e+76,3.11848e+91,4.69537e+87,0,0,0,0,0,0,0,0,0,0
-3.11892e+91,1,1.55182e-50,1,1,0,3.11895e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282308,7.43352e+46,3.39178e+53,2.76662e+61,2.38015e+66,1.59711e+71,2.43133e+74,2.66318e+72,1.9368e+76,3.11845e+91,4.69533e+87,0,0,0,0,0,0,0,0,0,0
-3.11889e+91,1,1.55182e-50,1,1,0,3.11892e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282308,7.43348e+46,3.39176e+53,2.7666e+61,2.38013e+66,1.59709e+71,2.43131e+74,2.66316e+72,1.93679e+76,3.11842e+91,4.69528e+87,0,0,0,0,0,0,0,0,0,0
-3.1168e+91,1,1.55182e-50,4,15,0,3.11889e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282307,7.4309e+46,3.39044e+53,2.76535e+61,2.37895e+66,1.59626e+71,2.42999e+74,2.66175e+72,1.9357e+76,3.11633e+91,4.69227e+87,0,0,0,0,0,0,0,0,0,0
-3.11628e+91,1,1.55182e-50,3,7,0,3.1168e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282307,7.43025e+46,3.39011e+53,2.76503e+61,2.37866e+66,1.59605e+71,2.42966e+74,2.66139e+72,1.93543e+76,3.11581e+91,4.69152e+87,0,0,0,0,0,0,0,0,0,0
-3.11624e+91,1,1.55182e-50,1,1,0,3.11628e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282307,7.43021e+46,3.39009e+53,2.76502e+61,2.37864e+66,1.59603e+71,2.42964e+74,2.66137e+72,1.93541e+76,3.11577e+91,4.69147e+87,0,0,0,0,0,0,0,0,0,0
-3.11416e+91,1,1.55182e-50,4,15,0,3.11624e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282306,7.42762e+46,3.38878e+53,2.76376e+61,2.37747e+66,1.5952e+71,2.42832e+74,2.65996e+72,1.93433e+76,3.11369e+91,4.68847e+87,0,0,0,0,0,0,0,0,0,0
-2.98449e+91,1,1.55182e-50,7,127,0,3.11416e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282248,7.26525e+46,3.30642e+53,2.6854e+61,2.30406e+66,1.543e+71,2.34592e+74,2.572e+72,1.86666e+76,2.98404e+91,4.50164e+87,0,0,0,0,0,0,0,0,0,0
-2.98437e+91,1,1.55182e-50,2,3,0,2.98449e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282248,7.2651e+46,3.30634e+53,2.68533e+61,2.30399e+66,1.54296e+71,2.34585e+74,2.57192e+72,1.8666e+76,2.98392e+91,4.50146e+87,0,0,0,0,0,0,0,0,0,0
