# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:40:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/wpkq61od.json
# init = 2 (Default)
# random
#   seed = 2224
# output
#   file = /home/lab5/output/code2-20230416104041_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.000619321
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 5.07306e-05
-1.44865e+06,0.997148,0.000619321,2,3,0,1.44867e+06,0.197584,0.000468232,7.43624,9.12468,12.8249,15.8626,18.5392,20.5411,19.0942,22.4523,39.5654,33.9643,3,9,18,15,25,23,22,21,29,19
-1.44863e+06,0.994025,0.000619321,2,3,0,1.44865e+06,0.197598,0.000463033,7.28847,8.92306,12.4942,15.4172,17.9874,19.9071,18.5198,21.7378,38.066,32.7326,6,10,15,8,9,23,19,18,30,32
-1.44862e+06,1,0.000619321,2,3,0,1.44863e+06,0.197603,0.000471486,7.53043,9.25341,13.0366,16.1483,18.8936,20.9487,19.4632,22.912,40.5346,34.7595,4,11,12,10,20,13,21,40,43,43
-1.44862e+06,0.999821,0.000619321,1,1,0,1.44862e+06,0.197603,0.000471116,7.51967,9.23869,13.0124,16.1156,18.8529,20.902,19.4209,22.8592,40.4232,34.6682,10,9,12,15,29,19,18,22,52,43
-1.44861e+06,0.999435,0.000619321,3,7,0,1.44862e+06,0.197608,0.000473632,7.59317,9.33926,13.1781,16.3395,19.1309,21.2218,19.7104,23.2202,41.1867,35.294,9,8,12,15,19,17,21,24,37,27
-1.4486e+06,0.999939,0.000619321,2,3,0,1.44861e+06,0.19761,0.000473889,7.60073,9.34961,13.1952,16.3626,19.1596,21.2548,19.7402,23.2574,41.2656,35.3586,9,12,25,20,22,23,17,22,29,44
-1.4486e+06,0.999942,0.000619321,2,3,0,1.4486e+06,0.197613,0.000473304,7.5836,9.32615,13.1565,16.3103,19.0946,21.18,19.6725,23.173,41.0867,35.212,4,10,12,20,17,23,19,17,39,38
-1.44855e+06,0.989326,0.000619321,3,7,0,1.4486e+06,0.197641,0.00046309,7.2904,8.92564,12.4983,15.4227,17.9941,19.9148,18.5269,21.7464,38.0838,32.7473,4,13,9,12,17,27,18,26,44,31
-1.44855e+06,0.998995,0.000619321,2,3,0,1.44855e+06,0.197644,0.000462209,7.26565,8.89192,12.4431,15.3484,17.9023,19.8093,18.4312,21.6276,37.8353,32.543,7,8,10,15,14,20,15,17,44,42
-1.44854e+06,0.993986,0.000619321,2,3,0,1.44855e+06,0.197647,0.000468539,7.44551,9.13728,12.8455,15.8903,18.5734,20.5804,19.1298,22.4966,39.6581,34.0405,7,7,10,13,25,26,19,19,40,42
